item,reason,report_id,utility,event_year,field,question,options,answer,confidence,page_refs,document_url,detail
120,low_confidence,sce__r1812005_sce_psps_postevent_report_for_112421,SCE,2021,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.44,9;10;11;22;23;30;31;39,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005-sce-psps-postevent-report-for-112421.pdf,
121,low_confidence,sce__r1812005sce_psps_postevent_report_for_93021,SCE,2021,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,not_stated,0.44,9;10;58;61;67,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005sce-psps-postevent-report-for-93021.pdf,
122,low_confidence,sdge__sdge_de_energization_report_oct_19_20_2018,SDG&E,2018,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.44,2;3;7,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-oct-19-20-2018.pdf,
123,low_confidence,sdge__sdge_sept_8_9_2020_psps_post_event_report,SDG&E,2020,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.44,3;4;6;7;8;12,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sdge-sept-8-9-2020-psps-post-event-report.pdf,
124,low_confidence,sce__sce_october_15_2021_psps_post_event_report,SCE,2021,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.45,9;10;11;21;26;27;88;89,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/sce-october-15-2021-psps-post-event-report.pdf,
125,low_confidence,pge__pspsreportletter092021,PG&E,2021,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,some_not_notified,0.46,4;5;6;40;41;47;48;49,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pspsreportletter092021.pdf,
126,low_confidence,sce__sce_oct_23_28_2020_psps_post_event_report,SCE,2020,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,yes,0.47,3;4;9;13;14,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sce-oct-23-28-2020-psps-post-event-report.pdf,
127,low_confidence,pge__pge_psps_report_letter_oct_13_17_2018,PG&E,2018,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.48,2;3;9;12,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-psps-report-letter-oct-13-17-2018.pdf,
128,low_confidence,pge__pge_public_safety_power_shutoff_oct_56_2019_report,PG&E,2019,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.48,5;6;7;9;10;13;14;22,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-oct-56-2019-amended.pdf,
129,low_confidence,sce__r1812005_sce_psps_post_event_for_october_1_2024_de_energization,SCE,2024,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,yes,0.48,73;74;75,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sce-psps-post-event-for-october-1-2024-de-energization.pdf,
130,low_confidence,sce__r1812005_sce_psps_post_event_report_for_9_15_24_high_threat_event,SCE,2024,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.48,8;9;10;11;12;58;59;62,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sce-psps-post-event-report-for-9-15-24-high-threat-event.pdf,
131,low_confidence,sce__sce_psps_post_event_report_10_11_2023_event,SCE,2023,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.48,8;9;10;11;12;17;18;62,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/sce-psps-post-event-report-10-11-2023-event.pdf,
132,low_confidence,pge__pge_sept_27_29_2020_psps_post_event_report,PG&E,2020,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.49,4;5;9;10;26;29;30;34,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpuc_public_website/content/news_room/news_and_updates/pge-sept-27-29-2020-psps-post-event-report.pdf,
133,low_confidence,sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,SCE,2025,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.49,8;9;10;21;25;26;31;50,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-nov-5/r1812005sce-psps-postevent-for-november-5-2025-deenergization.pdf,
134,low_confidence,pge__pge_psps_report_8_30_2023_event,PG&E,2023,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,not_stated,0.5,3;4;5;49;100,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-psps-report-8-30-2023-event.pdf,
135,low_confidence,sce__r1812005_sce_psps_post_event_for_august_10_2025_de_energization,SCE,2025,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.5,8;9;10;20;25;26;83;84,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-august-10-2025-de--energization.pdf,
136,low_confidence,sce__r1812005_sce_psps_post_event_report_for_9_9_22,SCE,2022,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,not_applicable,0.5,65;66;118,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2022/r1812005-sce-psps-post-event-report-for-9-9-22.pdf,
137,low_confidence,sce__r1812005sce_psps_postevent_report_for_93021,SCE,2021,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,not_applicable,0.5,9;10;20;21;22;23;61;62,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005sce-psps-postevent-report-for-93021.pdf,
138,low_confidence,sce__sce_psps_postevent_reportoct_27nov_4_2019_11192019,SCE,2019,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,not_stated,0.51,3;4;10;16;19;20;21,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-reportoct-27nov-4-2019-11192019.pdf,
139,low_confidence,sce__sce_sept_5_11_2020_psps_post_event_report,SCE,2020,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,not_stated,0.51,4;5;14;15;16;204;205,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpuc_public_website/content/news_room/news_and_updates/sce-amended-sept-5-11-2020-psps-post-event-report.pdf,
140,low_confidence,pge__pge_psps_post_event_report_20240702,PG&E,2024,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.52,4;5;6;37;38;39;40;45,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event_report_20240702-amended-redlined.pdf,
141,low_confidence,sdge__sdge_psps_post_event_report_december_23_24_final,SDG&E,2020,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,not_stated,0.52,6;15;16;35;37;48;50;52,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2020/sdge-psps-post-event-report_december-23-24-final.pdf,
142,low_confidence,sce__r1812005_sce_psps_post_event_report_for_9_9_22,SCE,2022,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,no,0.53,65;66;67;74;75,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2022/r1812005-sce-psps-post-event-report-for-9-9-22.pdf,
143,low_confidence,sce__r1812005_sce_psps_post_event_report_for_11_19_22_de_energization_event,SCE,2022,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,some_not_notified,0.54,8;9;20;21;27;28;35,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2022/r1812005-sce-psps-post-event-report-for-11-19-22-de-energization-event.pdf,
144,low_confidence,sce__r1812005sce_psps_postevent_for_october_8_2025_deenergization,SCE,2025,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.54,8;9;10;11;12;14;17;39,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005sce-psps-postevent-for-october-8-2025-deenergization.pdf,
145,low_confidence,sce__sce_nov_2326_2019_psps_postevent_report,SCE,2019,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,one_or_more,0.54,3;4;11;12,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-nov-2326-2019-psps-postevent-report.pdf,
146,low_confidence,sce__sce_psps_postevent_reportaug_310_2019_8222019,SCE,2019,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,not_stated,0.54,3;4;10;11,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportaug-310-2019-8222019.pdf,
147,low_confidence,pge__pge_public_safety_power_shutoff_nov_2021_2019_report,PG&E,2019,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.55,1;2;5;7;8;9;10;30,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-nov-20-2019-amended.pdf,
148,low_confidence,pge__psps_event_12_02_20_de_energization_report_final,PG&E,2020,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.55,4;5;13;14;51;56;58;59,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/psps-event-12-02-20-de-energization-report-final.pdf,
149,low_confidence,pge__public_safety_power_shutoff_sept_25_27_2019,PG&E,2019,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.55,9;10;11;12;13;14;54;65,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-sept-25-2019-amended.pdf,
150,low_confidence,sce__sce_psps_postevent_report_for_june_26_2026_deenergization,SCE,2026,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.55,7;8;9;10;15;39;88;89,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/sce-2026/sce-psps-postevent-report-for-june-26-2026-deenergization.pdf,
151,low_confidence,sdge__r1812005_sdge_psps_postevent_report_dec_911_2024_1_10_2025,SDG&E,2024,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.55,6;7;8;10;11;26;75;76,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sdge-psps-postevent-report-dec-911-2024--1-10-2025.pdf,
152,low_confidence,pge__jan_19_2021_pge_post_event_report,PG&E,2021,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.56,4;5;9;10;29;33;34;36,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/jan-19-2021-pge-post-event-report.pdf,
153,low_confidence,sce__20231029_sce_psps_post_event_reportdeenergizedfinal,SCE,2023,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.56,5;6;7;19;20;26;27;28,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/20231029-sce-psps-post-event-reportdeenergizedfinal.pdf,
154,low_confidence,sce__r1812005_sce_psps_post_event_for_july_1_2025_de_energization,SCE,2025,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.56,8;9;10;11;12;17;18;40,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-july-1-2025-de--energization.pdf,
155,low_confidence,sce__r1812005_sce_psps_post_event_report_for_11_20_23_de_energization_event,SCE,2023,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.56,8;9;10;21;22;28;29;30,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-psps-post-event-report-for-11-20-23-de-energization-event.pdf,
156,low_confidence,sce__sce_esrb_8_report_regarding_november_5_through_november_13_2018,SCE,2018,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.56,3;4;5;6;10,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-regarding-november-5-through-november-13-2018.pdf,
157,low_confidence,pge__pge_sept_27_29_2020_psps_post_event_report,PG&E,2020,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.57,4;5;15;16;21;22;23;24,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpuc_public_website/content/news_room/news_and_updates/pge-sept-27-29-2020-psps-post-event-report.pdf,
158,low_confidence,pge__r1812005pge51726_psps_postevent_reports1,PG&E,2026,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.57,7;8;9;30;41;42;96;97,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005pge51726-psps-postevent-reports1.pdf,
159,low_confidence,sce__jan_1221_2021_sce_psps_post_event_report,SCE,2021,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,not_stated,0.57,66;77;78,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/sce-jan-1221-2021-psps-post-event-report-amended.pdf,
160,low_confidence,sce__nov_14_18_2020_sce_psps_post_event_report,SCE,2020,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,zero,0.57,3;4;8;9,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/nov-14-18-2020-sce-psps-post-event-report.pdf,
161,low_confidence,pge__r1812005psps_event_93010152024,PG&E,2024,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.58,4;5;7;25;44;45;46;47,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event-report_20240930-amended-redlined.pdf,
162,low_confidence,sce__r1812005_sce_psps_post_event_for_december_9_2024_de_energization,SCE,2024,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,some_not_notified,0.58,8;9;10;21;25;26;27;43,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sce-psps-post-event-for-december-9-2024-de-energization.pdf,
163,low_confidence,sce__r1812005_sce_psps_postevent_report_for_112121,SCE,2021,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.58,9;10;11;23;24;32;33;99,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005-sce-psps-postevent-report-for-112121.pdf,
164,low_confidence,pge__pge_psps_report_8_30_2023_event,PG&E,2023,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.59,1;3;4;5;91;94;97;98,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-psps-report-8-30-2023-event.pdf,
165,low_confidence,sce__sce_oct_23_28_2020_psps_post_event_report,SCE,2020,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,some_not_notified,0.59,3;4;20;21;22;540,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sce-oct-23-28-2020-psps-post-event-report.pdf,
166,low_confidence,pge__jan_19_2021_pge_post_event_report,PG&E,2021,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.61,4;5;15;16;55;60;64;67,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/jan-19-2021-pge-post-event-report.pdf,
167,low_confidence,sce__r1812005_sce_psps_post_event_for_july_15_2025_de_energization,SCE,2025,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.61,8;9;10;11;12;17;33;54,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-july-15-2025-de--energization.pdf,
168,low_confidence,sce__r1812005sce_psps_postevent_for_august_1_2025_de_energization,SCE,2025,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,some_not_notified,0.61,8;9;10;19;20;23;24;25,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005sce-psps-postevent-for-august-1-2025-de-energization.pdf,
169,low_confidence,sce__sce_esrb_8_report_dec_29_2018_jan1_2019,SCE,2019,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.61,3;4;7,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-dec-29-2018-jan1-2019.pdf,
170,low_confidence,sce__r1812005sce_psps_postevent_for_june_10_2025_deenergization,SCE,2025,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.62,8;9;10;11;17;18;38;39,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005sce-psps-postevent-for-june-10-2025-deenergization.pdf,
171,low_confidence,pge__07_05_2024_psps_post_event_report_20240719,PG&E,2024,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.63,4;5;6;7;8;11;14;44,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/07-05-2024_psps_post-event_report_20240719.pdf,
172,low_confidence,sce__r1812005_sce_psps_post_event_report_for_11_26_23_high_threat_event,SCE,2023,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.63,8;9;10;11;12;17;18;68,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-psps-post-event-report-for-11-26-23-high-threat-event.pdf,
